K,rho,t_check,L_acum,W_acum
0,0.50,4400.53,0.000000,0.000000
0,0.50,4499.03,0.000000,0.000000
0,0.50,4597.68,0.000000,0.000000
0,0.50,4698.31,0.000000,0.000000
0,0.50,4797.78,0.000000,0.000000
0,0.50,4898.08,0.000000,0.000000
0,0.50,4999.43,0.000000,0.000000
0,0.50,5099.83,0.000000,0.000000
0,0.50,5198.45,0.000000,0.000000
0,0.50,5301.16,0.000000,0.000000
0,0.50,5406.20,0.000000,0.000000
0,0.50,5503.35,0.000000,0.000000
0,0.50,5600.04,0.000000,0.000000
0,0.50,5699.05,0.000000,0.000000
0,0.50,5799.56,0.000000,0.000000
0,0.50,5899.78,0.000000,0.000000
0,0.50,5999.46,0.000000,0.000000
0,0.50,6098.48,0.000000,0.000000
0,0.50,6199.37,0.000000,0.000000
0,0.50,6300.32,0.000000,0.000000
0,0.50,6398.23,0.000000,0.000000
0,0.50,6502.19,0.000000,0.000000
0,0.50,6600.58,0.000000,0.000000
0,0.50,6701.54,0.000000,0.000000
0,0.50,6805.78,0.000000,0.000000
0,0.50,6900.69,0.000000,0.000000
0,0.50,6999.51,0.000000,0.000000
0,0.50,7098.67,0.000000,0.000000
0,0.50,7199.53,0.000000,0.000000
0,0.50,7301.70,0.000000,0.000000
0,0.50,7398.22,0.000000,0.000000
0,0.50,7498.06,0.000000,0.000000
0,0.50,7600.07,0.000000,0.000000
0,0.50,7698.46,0.000000,0.000000
0,0.50,7799.31,0.000000,0.000000
0,0.50,7899.35,0.000000,0.000000
0,0.50,7998.36,0.000000,0.000000
0,0.50,8099.22,0.000000,0.000000
0,0.50,8199.53,0.000000,0.000000
0,0.50,8298.17,0.000000,0.000000
0,0.50,8397.76,0.000000,0.000000
0,0.50,8497.70,0.000000,0.000000
0,0.50,8607.04,0.000000,0.000000
0,0.50,8703.97,0.000000,0.000000
0,0.50,8800.84,0.000000,0.000000
0,0.50,8898.32,0.000000,0.000000
0,0.50,8998.51,0.000000,0.000000
0,0.75,98.03,0.000000,0.000000
